 01203 +6202 +00459 0041 2 Krakenes Fyr          N 1
 01205 +6220 +00516 0038 2 Svinoy LT             N 1
 01209 +6211 +00604 0074 2 Orsta-Volda HO        N 1
 01210 +6234 +00607 0022 2 Alesund               N 1
 01212 +6252 +00632 0017 2 Ona II                N 1
 01216 +6237 +00713 0021 2 Hjelvik I Roms        N 1
 01217 +6245 +00716 0003 2 Molde ARO             N 1
 01218 +6214 +00725 0015 2 Tafjord               N 1
 01223 +6307 +00750 0062 2 Kristiansund          N 1
 01224 +6328 +00745 0013 2 Skalmen FYR           N 1
 01227 +6251 +00818 0069 2 Tingvoll              N 1
 01228 +6351 +00827 0004 2 Sula                  N 1
 01231 +6214 +00822 0621 2 Lesjaskog             N 1
 01232 +6312 +00900 0047 2 Vinjeora II           N 1
 01238 +6207 +00917 0972 2 Fokstua II            N 1
 01241 +6342 +00936 0007 2 Orland                N 1
 01245 +6236 +00941 0625 2 Oppdal-Bjorke         N 1
 01252 +6249 +01001 0475 2 Berkak-Lynghol        N 1
 01271 +6328 +01056 0017 2 Trondheim             N 1
 01274 +6313 +01107 0242 2 Selbu-Stubbe          N 1
 01278 +6348 +01134 0049 2 Verdal-Stikles        N 1
 01288 +6234 +01123 0628 2 Roros                 N 1
 01289 +6235 +01121 0626 2 Roros                 N 1
 01292 +6327 +01142 0145 2 Meraker-Krogst        N 1
 01304 +6134 +00441 0026 2 Ytteroyane Fyr        N 1
 01306 +6045 +00443 0020 2 Hellisoy Fyr          N 1
 01309 +6134 +00448 0010 2 Kinn                  N 1
 01310 +6135 +00502 0009 2 Floro                 N 1
 01311 +6018 +00513 0050 2 Bergen                N 1
 01312 +6130 +00554 0000 2 Forde/Bringeld.       N 1
 01315 +5954 +00206 0000 2 Frigg                 N 1
 01316 +6106 +00212 0000 2 Gullfax Rigg          N 1
 01317 +6023 +00520 0039 2 Bergen Florida        N 1
 01319 +6102 +00523 0038 2 Takle                 N 1
 01320 +6150 +00607 0060 2 Sandane Anda          N 1
 01322 +6127 +00554 0011 2 Forde-Vie             N 1
 01323 +6124 +00546 0319 2 Forde                 N 1
 01325 +6050 +00557 0114 2 Modalen II            N 1
 01328 +6024 +00555 0408 2 Kvamskogen            N 1
